Unloaded module: latex/TeXLive12
Loaded module: python3/3.6.2
[10]
[10.0]
1e-05, 10.0, 0.07612198134156892, 0.28223467458879065

1e-05, 10.5, 0.0761245862208212, 0.2822012784064553

1.0500000000000001e-05, 10.0, 0.07612320947127413, 0.28222971029177885

1.0500000000000003e-05, 10.5, 0.07612604435546899, 0.28219606532563374

1.075e-05, 10.75, 0.0761284097465619, 0.28217779352373323

1.0250000000000002e-05, 11.25, 0.07613003412237024, 0.2821539631316024

1.0125000000000002e-05, 11.875, 0.07613407889302085, 0.2821221626792926

1.0875000000000002e-05, 12.125, 0.07613983476048561, 0.2821003191927042

1.13125e-05, 12.9375, 0.0761510460154395, 0.28205532886836804

1.0687500000000002e-05, 14.0625, 0.07616047023014459, 0.2820147820293602

1.0656250000000005e-05, 15.71875, 0.07618613916808359, 0.28194943111195037

